primary_genre,supergenre
Afro-cuban,Latin
Afro-cuban jazz,Jazz
Afro-cuban percussion,World/Traditional
Afro-cuban traditional,Latin
Afro-funk,Funk/Disco
Afrobeat,World/Traditional
Afrobeat brasileiro,World/Traditional
Afrobeat fusion,World/Traditional
Afrofuturism,Hip Hop/Rap
Afrofuturismo brasileiro,Hip Hop/Rap
Afropop,World/Traditional
Afroswing,Hip Hop/Rap
Aggro chileno,Hip Hop/Rap
Aggrotech,Ambient & Experimental Electronic
Aghani lil-atfal,Novelty/Spoken Word
Aguinaldo,Latin
Ai,Other
Ainu folk,Folk/Acoustic
Alabama indie,Alternative/Indie
Alabama metal,Metal
Alabama rap,Hip Hop/Rap
Alandsk musik,Folk/Acoustic
Alaska hip hop,Hip Hop/Rap
Alaska indie,Alternative/Indie
Albanian alternative,Alternative/Indie
Albanian folk,Folk/Acoustic
Albanian hip hop,Hip Hop/Rap
Albanian iso polyphony,World/Traditional
Albanian pop,Pop
Albanian rock,Rock
Albany ny indie,Alternative/Indie
Alberta country,Country/Americana
Alberta hip hop,Hip Hop/Rap
Album rock,Rock
Albuquerque indie,Alternative/Indie
Aleatoric,Classical/Orchestral
Algerian folk,Folk/Acoustic
Alpenpanorama,Folk/Acoustic
Alphorn,World/Traditional
Alpine yodeling,Folk/Acoustic
Alt z,Pop
Alt-idol,Pop
Alt-pop,Pop
Alte,World/Traditional
Alternative americana,Country/Americana
Alternative ccm,R&B/Soul
Alternative country,Country/Americana
Alternative dance,House & EDM
Alternative emo,Punk/Hardcore
Alternative hardcore,Punk/Hardcore
Alternative hip hop,Hip Hop/Rap
Alternative metal,Metal
Alternative metalcore,Metal
Alternative pop,Pop
Alternative pop rock,Pop
Alternative r&b,R&B/Soul
Alternative rock,Alternative/Indie
Alternative roots rock,Rock
Amapiano,World/Traditional
Ambeat,Hip Hop/Rap
Ambient,Ambient & Experimental Electronic
Ambient black metal,Metal
Ambient dub techno,Ambient & Experimental Electronic
Ambient folk,Folk/Acoustic
Ambient fusion,Ambient & Experimental Electronic
Ambient guitar,Ambient & Experimental Electronic
Ambient house,House & EDM
Ambient idm,Ambient & Experimental Electronic
Ambient industrial,Ambient & Experimental Electronic
Ambient pop,Pop
Ambient post-rock,Alternative/Indie
Ambient psychill,Ambient & Experimental Electronic
Ambient techno,Techno & Trance
Ambient trance,Ambient & Experimental Electronic
Ambient worship,R&B/Soul
American 21st century classical,Classical/Orchestral
American choir,Classical/Orchestral
American classical piano,Classical/Orchestral
American contemporary classical,Classical/Orchestral
American early music,Classical/Orchestral
American folk revival,Folk/Acoustic
American grindcore,Metal
American melodeath,Metal
American metalcore,Metal
American modern classical,Classical/Orchestral
American oi,Punk/Hardcore
American orchestra,Classical/Orchestral
American post-rock,Alternative/Indie
American primitive,Folk/Acoustic
American romanticism,Classical/Orchestral
American shoegaze,Alternative/Indie
Amharic pop,Pop
Anadolu rock,Rock
Anarcho-punk,Punk/Hardcore
Anatolian rock,Rock
Ancient mediterranean,Classical/Orchestral
Andalusian classical,Classical/Orchestral
Andean flute,World/Traditional
Andean music,World/Traditional
Anglican liturgy,Classical/Orchestral
Animal singing,Other
Anime,Soundtrack/Instrumental
Anime cv,Pop
Anime drill,Hip Hop/Rap
Anime game,Soundtrack/Instrumental
Anime latino,Soundtrack/Instrumental
Anime lo-fi,Hip Hop/Rap
Anime piano,Classical/Orchestral
Anime rap,Hip Hop/Rap
Anime rock,Rock
Anime score,Soundtrack/Instrumental
Anison,Soundtrack/Instrumental
Ann arbor indie,Alternative/Indie
Anthem,Pop
Anthem emo,Punk/Hardcore
Anthem worship,R&B/Soul
Anti-folk,Folk/Acoustic
Antideutsche,Punk/Hardcore
Antifolk,Folk/Acoustic
Antilliaanse folklore,World/Traditional
Antilliaanse rap,Hip Hop/Rap
Antiviral pop,Pop
Aor,Rock
Apostolic worship,R&B/Soul
Appalachian folk,Folk/Acoustic
Appalachian music,Folk/Acoustic
Appenzeller folk,Folk/Acoustic
Arab alternative,Alternative/Indie
Arab electronic,World/Traditional
Arab experimental,World/Traditional
Arab folk,World/Traditional
Arab groove,World/Traditional
Arab metal,Metal
Arab pop,Pop
Arab trap,Hip Hop/Rap
Arabesk,World/Traditional
Arabic hip hop,Hip Hop/Rap
Arabic instrumental,World/Traditional
Arabic jazz,Jazz
Arabic pop,Pop
Arena rock,Rock
Argentine alternative rock,Alternative/Indie
Argentine ambient,Ambient & Experimental Electronic
Argentine hardcore,Punk/Hardcore
Argentine heavy metal,Metal
Argentine hip hop,Hip Hop/Rap
Argentine indie,Alternative/Indie
Argentine indie rock,Alternative/Indie
Argentine jazz,Jazz
Argentine metal,Metal
Argentine punk,Punk/Hardcore
Argentine reggae,Reggae/Caribbean
Argentine rock,Rock
Argentine telepop,Pop
Arizona punk,Punk/Hardcore
Arkansas country,Country/Americana
Arkansas hip hop,Hip Hop/Rap
Arkansas indie,Alternative/Indie
Arkansas metal,Metal
Armenian folk,Folk/Acoustic
Armenian hip hop,Hip Hop/Rap
Armenian indie,Alternative/Indie
Armenian pop,Pop
Arpa grande,Latin
Arpa paraguaya,Latin
Arrocha,Latin
Arrochadeira,Latin
Ars subtilior,Classical/Orchestral
Art pop,Pop
Art punk,Punk/Hardcore
Art rock,Alternative/Indie
Art song,Classical/Orchestral
Arunachal indie,Alternative/Indie
Asakaa,World/Traditional
Asbury park indie,Alternative/Indie
Asheville indie,Alternative/Indie
Asian american hip hop,Hip Hop/Rap
Asmr,New Age/Meditation
Assamese hip hop,Hip Hop/Rap
Assamese pop,Pop
Assyrian pop,Pop
Athens indie,Alternative/Indie
Atl hip hop,Hip Hop/Rap
Atl trap,Hip Hop/Rap
Atlanta bass,Bass Music
Atlanta indie,Alternative/Indie
Atlanta metal,Metal
Atlanta punk,Punk/Hardcore
Atlantic canada hip hop,Hip Hop/Rap
Atmosphere,Hip Hop/Rap
Atmospheric black metal,Metal
Atmospheric dnb,Bass Music
Atmospheric doom,Metal
Atmospheric post-metal,Metal
Atmospheric post-rock,Alternative/Indie
Atmospheric sludge,Metal
Atonal,Classical/Orchestral
Auckland indie,Alternative/Indie
Audiobook,Novelty/Spoken Word
Audiophile vocal,Pop
Aussie drill,Hip Hop/Rap
Aussie emo,Punk/Hardcore
Aussietronica,House & EDM
Austin americana,Country/Americana
Austin hip hop,Hip Hop/Rap
Austin rock,Rock
Austin singer-songwriter,Folk/Acoustic
Austindie,Alternative/Indie
Australian alternative pop,Pop
Australian alternative rock,Alternative/Indie
Australian ambient,Ambient & Experimental Electronic
Australian americana,Country/Americana
Australian black metal,Metal
Australian blues,Blues
Australian children's music,Novelty/Spoken Word
Australian choir,Classical/Orchestral
Australian classical,Classical/Orchestral
Australian classical piano,Classical/Orchestral
Australian comedy,Novelty/Spoken Word
Australian country,Country/Americana
Australian dance,House & EDM
Australian death metal,Metal
Australian electropop,Pop
Australian experimental,Alternative/Indie
Australian garage punk,Punk/Hardcore
Australian hardcore,Punk/Hardcore
Australian hip hop,Hip Hop/Rap
Australian house,House & EDM
Australian indie,Alternative/Indie
Australian indie folk,Folk/Acoustic
Australian indie rock,Alternative/Indie
Australian indigenous,World/Traditional
Australian indigenous hip hop,Hip Hop/Rap
Australian jazz,Jazz
Australian metal,Metal
Australian metalcore,Metal
Australian pop,Pop
Australian post-hardcore,Punk/Hardcore
Australian post-punk,Rock
Australian post-rock,Alternative/Indie
Australian psych,Rock
Australian r&b,R&B/Soul
Australian reggae fusion,Reggae/Caribbean
Australian rock,Rock
Australian rockabilly,Rock
Australian shoegaze,Alternative/Indie
Australian singer-songwriter,Folk/Acoustic
Australian ska,Reggae/Caribbean
Australian talent show,Pop
Australian techno,Techno & Trance
Australian thrash metal,Metal
Australian trap,Hip Hop/Rap
Australian underground hip hop,Hip Hop/Rap
Australianlabel,Rock
Austrian black metal,Metal
Austrian choir,Classical/Orchestral
Austrian classical piano,Classical/Orchestral
Austrian contemporary classical,Classical/Orchestral
Austrian dnb,Bass Music
Austrian hip hop,Hip Hop/Rap
Austrian indie,Alternative/Indie
Austrian jazz,Jazz
Austrian metal,Metal
Austrian orchestra,Classical/Orchestral
Austrian pop,Pop
Austrian punk,Punk/Hardcore
Austrian stoner rock,Rock
Austrian techno,Techno & Trance
Austro-german modernism,Classical/Orchestral
Austropop,Pop
Auteur-compositeur-interprete quebecois,Folk/Acoustic
Autoharp,Folk/Acoustic
Autonomous black metal,Metal
Avant-garde,Ambient & Experimental Electronic
Avant-garde black metal,Metal
Avant-garde jazz,Jazz
Avant-garde metal,Metal
Avant-rock,Alternative/Indie
Avantgarde,Ambient & Experimental Electronic
Axe,Latin
Axã©,Latin
Azeri alternative,Alternative/Indie
Azeri pop,Pop
Azeri rap,Hip Hop/Rap
Azeri traditional,World/Traditional
Azonto,World/Traditional
Azontobeats,Hip Hop/Rap
Bachata,Latin
Bachata dominicana,Latin
Bachchon ke geet,Novelty/Spoken Word
Background jazz,Jazz
Background jazz product,Jazz
Background music,Soundtrack/Instrumental
Background piano,Soundtrack/Instrumental
Backing track,Soundtrack/Instrumental
Baglama,World/Traditional
Bagpipe,Folk/Acoustic
Bagpipe marching band,Classical/Orchestral
Bahai,R&B/Soul
Bahamian folk,Folk/Acoustic
Bahamian pop,Pop
Baiao,Latin
Baila,World/Traditional
Baithak gana,World/Traditional
Baiã£o,Latin
Baja indie,Alternative/Indie
Bajan soca,Reggae/Caribbean
Bajki,Novelty/Spoken Word
Bakersfield sound,Country/Americana
Bal-musette,Folk/Acoustic
Balafon,World/Traditional
Balalaika,Folk/Acoustic
Balearic,House & EDM
Balfolk,Folk/Acoustic
Bali indie,Alternative/Indie
Balikpapan indie,Alternative/Indie
Balinese traditional,World/Traditional
Balkan beats,World/Traditional
Balkan brass,World/Traditional
Balkan classical piano,Classical/Orchestral
Balkan drill,Hip Hop/Rap
Balkan folk metal,Metal
Balkan hip hop,Hip Hop/Rap
Balkan post punk,Rock
Balkan punk,Punk/Hardcore
Balkan trap,Hip Hop/Rap
Ballad,Pop
Ballet,Classical/Orchestral
Ballet class,Classical/Orchestral
Ballroom,Pop
Balochi folk,Folk/Acoustic
Balochi pop,Pop
Baltic black metal,Metal
Baltic choir,Classical/Orchestral
Baltic classical,Classical/Orchestral
Baltic classical piano,Classical/Orchestral
Baltic folk,Folk/Acoustic
Baltic post-punk,Rock
Baltimore club,Bass Music
Baltimore hip hop,Hip Hop/Rap
Baltimore indie,Alternative/Indie
Bambuco,Latin
Band organ,Classical/Orchestral
Banda,Latin
Banda carnavalera,Latin
Banda de viento,Latin
Banda guanajuatense,Latin
Banda jalisciense,Latin
Banda militar,Classical/Orchestral
Banda peruana,Latin
Banda sinaloense,Latin
Bandinhas,Latin
Bandolim,Folk/Acoustic
Bandoneon,Latin
Bandung indie,Alternative/Indie
Bandura,World/Traditional
Bangalore indie,Alternative/Indie
Bangla pop,Pop
Bangladeshi classical,World/Traditional
Bangladeshi hip hop,Hip Hop/Rap
Bangladeshi indie,Alternative/Indie
Bangladeshi rock,Rock
Banjo,Country/Americana
Bansuri,World/Traditional
Baoule,World/Traditional
Baps,R&B/Soul
Baptist gospel,R&B/Soul
Barbadian pop,Pop
Barbershop,Pop
Bard,Folk/Acoustic
Bardcore,Folk/Acoustic
Barnalog,Novelty/Spoken Word
Barnasogur,Novelty/Spoken Word
Barnemusikk,Novelty/Spoken Word
Barnmusik,Novelty/Spoken Word
Barnsagor,Novelty/Spoken Word
Barockinterpreten,Classical/Orchestral
Baroque,Classical/Orchestral
Baroque brass,Classical/Orchestral
Baroque cello,Classical/Orchestral
Baroque ensemble,Classical/Orchestral
Baroque pop,Pop
Baroque singing,Classical/Orchestral
Baroque violin,Classical/Orchestral
Baroque woodwind,Classical/Orchestral
Barrelhouse piano,Jazz
Basel indie,Alternative/Indie
Bases de freestyle,Hip Hop/Rap
Basque folk,Folk/Acoustic
Basque music,World/Traditional
Bass house,House & EDM
Bass music,Bass Music
Bass trap,Hip Hop/Rap
Bass trip,Bass Music
Basshall,Bass Music
Bassline,Bass Music
Batak,World/Traditional
Bath indie,Alternative/Indie
Batida,Latin
Batidao romantico,Latin
Baton rouge indie,Alternative/Indie
Baton rouge rap,Hip Hop/Rap
Battle rap,Hip Hop/Rap
Batucada,Latin
Bay area hip hop,Hip Hop/Rap
Bay area indie,Alternative/Indie
Bayerischer rap,Hip Hop/Rap
Bayou funk,Funk/Disco
Bboy,Hip Hop/Rap
Bc underground hip hop,Hip Hop/Rap
Beach house,Pop
Beach music,Pop
Beat,Hip Hop/Rap
Beat italiano,Pop
Beat poetry,Novelty/Spoken Word
Beatbox,Hip Hop/Rap
Beatboxing,Hip Hop/Rap
Beatdown,Metal
Beatlesque,Rock
Beats,Hip Hop/Rap
Bebop,Jazz
Bedroom pop,Pop
Bedroom soul,R&B/Soul
Beguine,Latin
Bel canto,Classical/Orchestral
Belarusian electronic,House & EDM
Belarusian hip hop,Hip Hop/Rap
Belarusian indie,Alternative/Indie
Belarusian metal,Metal
Belarusian pop,Pop
Belarusian punk,Punk/Hardcore
Belarusian rock,Rock
Belfast indie,Alternative/Indie
Belfast metal,Metal
Belgian black metal,Metal
Belgian blues,Blues
Belgian classical piano,Classical/Orchestral
Belgian contemporary classical,Classical/Orchestral
Belgian dance,House & EDM
Belgian death metal,Metal
Belgian dnb,Bass Music
Belgian edm,House & EDM
Belgian electronic,House & EDM
Belgian experimental,Alternative/Indie
Belgian hardcore,Punk/Hardcore
Belgian hip hop,Hip Hop/Rap
Belgian indie,Alternative/Indie
Belgian indie rock,Alternative/Indie
Belgian jazz,Jazz
Belgian metal,Metal
Belgian modern jazz,Jazz
Belgian new wave,Pop
Belgian pop,Pop
Belgian post-rock,Alternative/Indie
Belgian punk,Punk/Hardcore
Belgian rock,Rock
Belgian singer-songwriter,Folk/Acoustic
Belgian stoner rock,Rock
Belgian techno,Techno & Trance
Bells,Classical/Orchestral
Belly dance,World/Traditional
Belo horizonte indie,Alternative/Indie
Bemani,Soundtrack/Instrumental
Benga,World/Traditional
Bengali folk,Folk/Acoustic
Bengali music,World/Traditional
Beninese pop,Pop
Bergamo indie,Alternative/Indie
Bergen indie,Alternative/Indie
Berlin minimal techno,Techno & Trance
Berlin school,Ambient & Experimental Electronic
Berlin-school,Ambient & Experimental Electronic
Bern indie,Alternative/Indie
Bernu dziesmas,Novelty/Spoken Word
Beä‡arac,World/Traditional
Bgm,Soundtrack/Instrumental
Bhajan,World/Traditional
Bhangra,World/Traditional
Bhojpuri folk,Folk/Acoustic
Bhojpuri pop,Pop
Bhutanese pop,Pop
Bible,Novelty/Spoken Word
Big band,Jazz
Big beat,House & EDM
Big room,House & EDM
Bikutsi,World/Traditional
Binaural,New Age/Meditation
Birdsong,New Age/Meditation
Birmingham grime,Hip Hop/Rap
Birmingham hip hop,Hip Hop/Rap
Birmingham indie,Alternative/Indie
Birmingham metal,Metal
Birthday,Pop
Bisaya indie,Alternative/Indie
Bisaya rap,Hip Hop/Rap
Bisaya worship,R&B/Soul
Bisrock,Rock
Bitpop,Pop
Black 'n' roll,Metal
Black americana,Country/Americana
Black comedy,Novelty/Spoken Word
Black death,Metal
Black metal,Metal
Black metal argentino,Metal
Black noise,Ambient & Experimental Electronic
Black punk,Punk/Hardcore
Black sludge,Metal
Black speed metal,Metal
Black thrash,Metal
Blackened crust,Punk/Hardcore
Blackened deathcore,Metal
Blackened hardcore,Punk/Hardcore
Blackened screamo,Punk/Hardcore
Blackgaze,Metal
Blaskapelle,Classical/Orchestral
Blasmusik,Classical/Orchestral
Bleep,Ambient & Experimental Electronic
Bleep techno,Techno & Trance
Bloco,Latin
Bluegrass,Country/Americana
Bluegrass fiddle,Folk/Acoustic
Bluegrass gospel,Country/Americana
Blues,Blues
Blues band,Blues
Blues latinoamericano,Blues
Blues mexicano,Blues
Blues rock,Blues
Blues-rock guitar,Blues
Bmore,Hip Hop/Rap
Bodo pop,Pop
Boeremusiek,World/Traditional
Bogor indie,Alternative/Indie
Bohemian baroque,Classical/Orchestral
Bohol indie,Alternative/Indie
Bolero,Latin
Bolero cubano,Latin
Bolero mexicano,Latin
Bolivian metal,Metal
Bolivian rock,Rock
Bollywood,Soundtrack/Instrumental
Bolobedu house,House & EDM
Bomba,Latin
Bomba y plena,Latin
Bongo flava,World/Traditional
Boogaloo,Latin
Boogie,Funk/Disco
Boogie woogie,Jazz
Boogie-woogie,Jazz
Boom bap,Hip Hop/Rap
Boom bap brasileiro,Hip Hop/Rap
Boom bap espanol,Hip Hop/Rap
Bop,Jazz
Bornehistorier,Novelty/Spoken Word
Borneo traditional,World/Traditional
Bornesange,Novelty/Spoken Word
Bosnian electronic,House & EDM
Bosnian indie,Alternative/Indie
Bosnian pop,Pop
Bossa nova,Latin
Bossa nova cover,Latin
Bossa nova jazz,Jazz
Bossanova,Latin
Bossbeat,Latin
Bosstown sound,Rock
Boston electronic,House & EDM
Boston folk,Folk/Acoustic
Boston hardcore,Punk/Hardcore
Boston hip hop,Hip Hop/Rap
Boston indie,Alternative/Indie
Boston metal,Metal
Boston punk,Punk/Hardcore
Boston rock,Rock
Bothy ballad,Folk/Acoustic
Botswana hip hop,Hip Hop/Rap
Botswana pop,Pop
Botswana traditional,World/Traditional
Bounce,Hip Hop/Rap
Bouncy house,House & EDM
Bouncy techno,Techno & Trance
Bouyon,Reggae/Caribbean
Bouzouki,World/Traditional
Bow pop,Pop
Boy band,Pop
Boy pop,Pop
Boy soprano,Classical/Orchestral
Bozlak,World/Traditional
Brain waves,New Age/Meditation
Braindance,Ambient & Experimental Electronic
Brasilia indie,Alternative/Indie
Brass & military,Classical/Orchestral
Brass band,Jazz
Brass band brasileiro,Latin
Brass ensemble,Classical/Orchestral
Brass instrument,Classical/Orchestral
Brass quintet,Classical/Orchestral
Brazilian bass,Bass Music
Brazilian black metal,Metal
Brazilian blues,Blues
Brazilian boogie,Latin
Brazilian ccm,R&B/Soul
Brazilian classical,Classical/Orchestral
Brazilian classical piano,Classical/Orchestral
Brazilian contemporary classical,Classical/Orchestral
Brazilian death metal,Metal
Brazilian dnb,Bass Music
Brazilian doom metal,Metal
Brazilian edm,House & EDM
Brazilian emo,Punk/Hardcore
Brazilian experimental,Alternative/Indie
Brazilian gospel,R&B/Soul
Brazilian grindcore,Metal
Brazilian groove metal,Metal
Brazilian hardcore,Punk/Hardcore
Brazilian heavy metal,Metal
Brazilian hip hop,Hip Hop/Rap
Brazilian house,House & EDM
Brazilian indie,Alternative/Indie
Brazilian indie rock,Alternative/Indie
Brazilian jazz,Jazz
Brazilian lo-fi rock,Alternative/Indie
Brazilian metal,Metal
Brazilian metalcore,Metal
Brazilian modern jazz,Jazz
Brazilian percussion,World/Traditional
Brazilian post-hardcore,Punk/Hardcore
Brazilian post-rock,Alternative/Indie
Brazilian power metal,Metal
Brazilian progressive metal,Metal
Brazilian punk,Punk/Hardcore
Brazilian punk rock,Punk/Hardcore
Brazilian reggae,Reggae/Caribbean
Brazilian rock,Rock
Brazilian rockabilly,Rock
Brazilian ska,Reggae/Caribbean
Brazilian soul,R&B/Soul
Brazilian stoner rock,Rock
Brazilian surf rock,Rock
Brazilian tech house,House & EDM
Brazilian techno,Techno & Trance
Brazilian thrash metal,Metal
Break-in,Other
Breakbeat,Garage & Breaks
Breakcore,Bass Music
Breaks,Garage & Breaks
Brega,Latin
Brega funk,Latin
Brega paraense,Latin
Brega romantico,Latin
Brega saudade,Latin
Breton folk,Folk/Acoustic
Brighton indie,Alternative/Indie
Brill building pop,Pop
Brisbane indie,Alternative/Indie
Brisbane punk,Punk/Hardcore
Bristol electronic,House & EDM
Bristol indie,Alternative/Indie
Brit funk,Funk/Disco
Brit pop,Rock
Britcore,Punk/Hardcore
British alternative rock,Alternative/Indie
British black metal,Metal
British blues,Blues
British brass band,Classical/Orchestral
British children's music,Novelty/Spoken Word
British choir,Classical/Orchestral
British classical piano,Classical/Orchestral
British comedy,Novelty/Spoken Word
British contemporary classical,Classical/Orchestral
British country,Country/Americana
British dance band,Pop
British death metal,Metal
British electroacoustic,Ambient & Experimental Electronic
British experimental,Alternative/Indie
British folk,Folk/Acoustic
British grindcore,Metal
British indie rock,Alternative/Indie
British industrial,Alternative/Indie
British invasion,Rock
British jazz,Jazz
British math rock,Alternative/Indie
British modern classical,Classical/Orchestral
British orchestra,Classical/Orchestral
British post-rock,Alternative/Indie
British power metal,Metal
British singer-songwriter,Folk/Acoustic
British soul,R&B/Soul
British soundtrack,Soundtrack/Instrumental
Britpop,Rock
Britpop revival,Rock
Brno indie,Alternative/Indie
Broadway,Soundtrack/Instrumental
Brockton hip hop,Hip Hop/Rap
Broken beat,Bass Music
Bronx drill,Hip Hop/Rap
Bronx hip hop,Hip Hop/Rap
Brooklyn drill,Hip Hop/Rap
Brooklyn indie,Alternative/Indie
Brostep,Bass Music
Bruneian pop,Pop
Brutal death metal,Metal
Brutal deathcore,Metal
Bubble trance,Techno & Trance
Bubblegrunge,Alternative/Indie
Bubblegum,Pop
Bubblegum dance,Pop
Bubblegum pop,Pop
Bubbling,Reggae/Caribbean
Buffalo hip hop,Hip Hop/Rap
Buffalo ny indie,Alternative/Indie
Buffalo ny metal,Metal
Bulgarian electronic,House & EDM
Bulgarian experimental,Alternative/Indie
Bulgarian folk,Folk/Acoustic
Bulgarian hip hop,Hip Hop/Rap
Bulgarian indie,Alternative/Indie
Bulgarian metal,Metal
Bulgarian pop,Pop
Bulgarian r&b,R&B/Soul
Bulgarian rock,Rock
Bulgarian trap,Hip Hop/Rap
Bultrã³n,World/Traditional
Burkinabe pop,Pop
Burkinabe traditional,World/Traditional
Burmese pop,Pop
Burmese traditional,World/Traditional
Burundian pop,Pop
Burundian traditional,World/Traditional
Bury st edmunds indie,Alternative/Indie
Bush ballad,Folk/Acoustic
Byzantine,Classical/Orchestral
C-pop,Pop
C64,Ambient & Experimental Electronic
C86,Alternative/Indie
Cabaret,Pop
Caipira,Latin
Cajun,Country/Americana
Calgary indie,Alternative/Indie
Cali rap,Hip Hop/Rap
California hardcore,Punk/Hardcore
Calming instrumental,New Age/Meditation
Calypso,Reggae/Caribbean
Cambodian classical,Classical/Orchestral
Cambodian pop,Pop
Cambodian rock,Rock
Cambodian traditional,World/Traditional
Cambridge choir,Classical/Orchestral
Cambridgeshire indie,Alternative/Indie
Cameroonian hip hop,Hip Hop/Rap
Cameroonian pop,Pop
Campursari,World/Traditional
Canadian americana,Country/Americana
Canadian black metal,Metal
Canadian blues,Blues
Canadian ccm,R&B/Soul
Canadian celtic,Folk/Acoustic
Canadian children's music,Novelty/Spoken Word
Canadian choir,Classical/Orchestral
Canadian classical,Classical/Orchestral
Canadian classical piano,Classical/Orchestral
Canadian comedy,Novelty/Spoken Word
Canadian contemporary country,Country/Americana
Canadian contemporary r&b,R&B/Soul
Canadian country,Country/Americana
Canadian death metal,Metal
Canadian drill,Hip Hop/Rap
Canadian electronic,House & EDM
Canadian electropop,Pop
Canadian experimental,Alternative/Indie
Canadian folk,Folk/Acoustic
Canadian garage rock,Rock
Canadian hardcore,Punk/Hardcore
Canadian hip hop,Hip Hop/Rap
Canadian house,House & EDM
Canadian indie,Alternative/Indie
Canadian indie folk,Folk/Acoustic
Canadian indigenous,World/Traditional
Canadian indigenous hip hop,Hip Hop/Rap
Canadian latin,Latin
Canadian metal,Metal
Canadian metalcore,Metal
Canadian modern jazz,Jazz
Canadian old school hip hop,Hip Hop/Rap
Canadian pop,Pop
Canadian pop punk,Punk/Hardcore
Canadian post-hardcore,Punk/Hardcore
Canadian post-punk,Rock
Canadian post-rock,Alternative/Indie
Canadian psychedelic,Rock
Canadian psychedelic rock,Rock
Canadian punk,Punk/Hardcore
Canadian rock,Rock
Canadian rockabilly,Rock
Canadian shoegaze,Alternative/Indie
Canadian singer-songwriter,Folk/Acoustic
Canadian soundtrack,Soundtrack/Instrumental
Canadian stoner rock,Rock
Canadian trap,Hip Hop/Rap
Canadian underground hip hop,Hip Hop/Rap
Canberra indie,Alternative/Indie
Cancion infantil latinoamericana,Novelty/Spoken Word
Cancion infantil mexicana,Novelty/Spoken Word
Cancion melodica,Latin
Cancoes infantis,Novelty/Spoken Word
Candombe,Latin
Candomble,World/Traditional
Candy pop,Pop
Cantaditas,Latin
Cantata,Classical/Orchestral
Cantautor,Folk/Acoustic
Cantautor catala,Folk/Acoustic
Cantautora argentina,Folk/Acoustic
Cante alentejano,Folk/Acoustic
Cante flamenco,World/Traditional
Canterbury scene,Rock
Canti alpini,Folk/Acoustic
Canto a tenore,World/Traditional
Canto popular uruguayo,Folk/Acoustic
Cantonese opera,Classical/Orchestral
Cantonese traditional,World/Traditional
Cantonese worship,R&B/Soul
Cantopop,Pop
Cantorial,Classical/Orchestral
Canzone d'autore,Pop
Canzone genovese,Pop
Canzone napoletana,World/Traditional
Canzone siciliane,Folk/Acoustic
Cape breton folk,Folk/Acoustic
Cape breton indie,Alternative/Indie
Cape jazz,Jazz
Cape town indie,Alternative/Indie
Cape verdean folk,Folk/Acoustic
Capoeira,Latin
Capriccio,Classical/Orchestral
Caracas indie,Alternative/Indie
Cardiff indie,Alternative/Indie
Caribbean metal,Metal
Carimbo,Latin
Carimbã³,Latin
Carnatic,World/Traditional
Carnatic instrumental,World/Traditional
Carnatic vocal,World/Traditional
Carnaval,Latin
Carnaval cadiz,Pop
Carnaval limburg,Pop
Cartoni animati,Novelty/Spoken Word
Cartoon,Novelty/Spoken Word
Cascadia psych,Rock
Cascadian black metal,Metal
Catalan folk,Folk/Acoustic
Catalan music,World/Traditional
Cathedral choir,Classical/Orchestral
Caucasian classical,Classical/Orchestral
Caucasian classical piano,Classical/Orchestral
Caucasian folk,Folk/Acoustic
Cavernous death metal,Metal
Ccm,R&B/Soul
